Parent 1,Parent 2,Year,Coyote ID,Sample Date,Sex,Coyote Location,Sample Type (not complete),Sample Status,"Are these 
the parents?",,
,,,386,5/21/09,m,SVNC,Clots,Genotyped,,,
,,,387,5/27/09,m,HW,Clots,Genotyped,,,
,,,388,5/27/09,m,HW,Clots,Extracted,,,
,,,389,5/27/09,m,HW,Clots,Extracted,,,
,,,390,5/27/09,f,HW,Clots,Extracted,,,
,,,391,5/27/2009 & 6/10/09,f,HW,Clots,Genotyped,,,
,,,392,5/27/09,m,HW,Clots,Extracted ,,,
125,21?,2004,126,,m,PC,hair,missing sample,,,
,,,127,,M,PC,"""T2""",Genotyped,,,
,,,128,,m,PC,hair,Genotyped,,,
,,,129,,f,PC,hair,missing sample,,,
,,,130,,m,PC,purple top,Genotyped,,,
,,,131,,m,PC,,Genotyped,,,
,,,132,,f,PC,hair,Genotyped,,,
,,,133,5/12/04 &6/23/04,f,PC,hair &purple top,missing sample,,,
125,21,??,174,5/11/05,f,PC,"""T 9""",Genotyped,?,caught as adult,check genetic record
125,21?,2005,210,5/26/05,F,PC,clot & purple top,Genotyped,,125 died 2013,
,,,211,5/26/05,M,PC,clot  ,Genotyped,,21 died 2010,
,,,212,5/26/05,M,PC,clot,Genotyped,,,
,,,213,5/26/05,F,PC,,Genotyped,,,
,,,214,,M,PC,clot & purple top,Genotyped,,,
,,2006,253,,m,PC,,Genotyped,,,
,,,254,,m,PC,,Genotyped,,,
,,,255,,m,PC,,Genotyped,,,
,,,256,4/11/07,f,PC,Blood Clots,Genotyped,,,
,,,257,,m,PC,,Genotyped,,,
,,,258,,f,PC,,Genotyped,,,
,,,259,4/8/08,f,pc,Blood Clots,Genotyped,,,
,,2009,393,5/28/09,m,PC,Clots,Extracted ,,,
,,,394,5/28/09,m,PC,Clots,Extracted ,,,
,,,395,5/28/09,f,PC,Clots,Extracted ,,,
,,,396,5/28/09,f,PC,Clots,Genotyped,,,
,,,397,5/28/09,m,PC,Clots,Extracted,,,
,,,398,5/28/09,m,PC,Clots,Genotyped,,,
,,,399,5/28/09,f,PC,Clots,Extracted,,,
,NO 21,2011,521,5/24/11,m,PC,"blood, hair",Genotyped,,,
,,,522,5/9/11,m,PC,hair,MMWF - P2011,,,
,,,552,5/24/11,m,PC,blood,Genotyped,,could be same animal as 522,
119,,2009,420,6/5/09,f,MMWF,Clots,Jeans,,,
,,,421,6/5/09,f,MMWF,Clots,Jeans,,,
,,,422,6/5/09,m,MMWF,clot,Jeans,,,
,,,423,6/5/09,m,MMWF,"Clots, Liver",Jeans,,,
,,,424,6/5/09,f,MMWF,clot,Jeans,,,
111,,2004,136,,m,HW,hair,Genotyped,,,
,,,137,,m,HW,hair,Genotyped,,,
,,,138,,m,HW,hair,Genotyped,,,
,,,139,,f,HW,hair,Genotyped,,,
,,,140,,m,HW,hair,Genotyped,,,
,,,141,,m,HW,hair,Genotyped,,,
,,,142,,m,HW,hair,Genotyped,,,
,,,143,,m,HW,hair,Genotyped,,,
,,,144,,m,HW,hair,Genotyped,,,
,,?,163,,M,HW,,Genotyped,?,adult in 2004,
,,2005,196,,m,HW,,No sample,,,
,,,197,5/16/05,F,HW,,Genotyped,,,
,,,198,,m,HW,purple top,Genotyped,,,
,,,199,,f,HW,clot,missing sample,,,
,,,200,5/16/05,F,HW,,Genotyped,,,
,,,201,,m,HW,purple top,missing sample,,,
,,,202,5/16/05,F,HW,,Genotyped,,,
,,,203,5/16/05,M,HW,,Genotyped,,,
,,2006,261,,M,HW,,Genotyped,,,
,,,262,,M,HW,,Genotyped,,,
,,2009,404,6/3/09,f,HW,Clots,Genotyped,,,
,,,405,6/3/09,f,HW,Clots,Extracted,,,
,,,406,6/3/09,m,HW,Clots,Extracted,,,
,,,407,6/3/09,m,HW,Clots,Extracted,,,
,,,408,6/3/09,m,HW,Clots,Extracted,,,
,,,409,6/3/09,f,HW,Clots,Extracted,,,
,,,410,6/3/09,m,HW,Clots,Extracted,,,
,,,411,6/3/09,m,HW,Clots,Extracted,,,
94,,2004,134,5/26/04,m,PC,hair,missing sample,,,
,,,135,5/26/04,m,PC,hair,missing sample,,,
,,2005,204,5/20/05,F,PC,,Genotyped,,,
,,,205,5/20/05,F,PC,hair,Genotyped,,,
,,,206,5/20/05,M,PC,,Genotyped,,,
,,,207,5/20/05,F,PC,,Genotyped,,,
,,,208,5/20/05,M,PC,hair & purp?,Genotyped,,,
,,,209,5/20/05,M,PC,,Genotyped,,,
49,,2002,56,,M,HW,,Genotyped,,,
,,,57,,F,HW,,Genotyped,,,
,,,58,,F,HW,,Genotyped,,,
38,,2001,39,,f,MMWF,,Genotyped,,,
,,,40,,m,MMWF,,Genotyped,,,
,,,41,,f,MMWF,,Genotyped,,,
32,,2002,64,,F,Busse,,Genotyped,,,
,,,65,,M,Busse,,Genotyped,,,
,,,66,,F,Busse,,Genotyped,,,
,,,67,,M,Busse,,Genotyped,,,
,,,68,,M,Busse,,Genotyped,,,
,,,69,,f,Busse,,Genotyped,,,
,,,70,,F,Busse,,Genotyped,,,
,,,71,,M,Busse,,Genotyped,,,
,,,72,,M,Busse,,Genotyped,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
